sale_id,product_id,sale_date,quantity_sold,total_revenue
1,667,11-12-2024,40,35284
2,2942,13-03-2024,69,11541.63
3,135,17-04-2024,82,139318.82
4,1970,02-12-2024,65,468144.95
5,1893,19-07-2024,79,22624.02
6,4937,03-05-2024,34,112463.16
7,3897,19-07-2024,36,236282.04
8,836,18-06-2024,64,465564.16
9,2075,22-07-2024,47,130700.42
10,321,13-07-2024,35,27499.5
11,3899,22-05-2024,28,33485.76
12,113,16-05-2024,55,66696.3
13,2947,27-10-2024,14,2239.86
14,4222,12-05-2024,39,11946.87
15,2573,27-03-2024,34,10557
16,4027,17-11-2024,88,18781.84
17,2799,19-04-2024,48,22713.12
18,1094,16-05-2024,93,93283.65
19,3009,30-08-2024,44,151280.36
20,3374,23-08-2024,90,41877
21,4985,19-06-2024,57,224395.89
22,3242,18-06-2024,30,30023.4
23,4258,18-12-2024,71,17204.72
24,2756,18-10-2024,78,233481.3
25,3048,24-01-2024,30,11816.1
26,245,20-01-2024,30,87326.1
27,3705,23-10-2024,86,695191.32
28,4738,04-05-2024,22,213812.72
29,796,25-07-2024,70,356542.9
30,930,25-07-2024,93,331167.42
31,1320,01-05-2024,34,205826.48
32,217,14-05-2024,29,6131.76
33,336,25-12-2024,84,768507.6
34,4641,04-06-2024,77,550630.08
35,2566,02-07-2024,25,73661.25
36,163,25-01-2024,47,171069.66
37,513,06-03-2024,50,131780
38,1084,22-05-2024,80,76131.2
39,688,21-04-2024,70,71208.2
40,1255,16-03-2024,9,18214.56
41,4673,05-08-2024,21,61746.72
42,3574,20-01-2024,54,41733.36
43,3106,04-07-2024,57,184835.04
44,2289,19-07-2024,33,14335.2
45,3419,23-05-2024,10,29581.6
46,2452,31-10-2024,79,323963.2
47,3482,01-10-2024,30,81501.9
48,3481,22-11-2024,26,68036.54
49,1113,26-04-2024,81,194945.13
50,304,26-02-2024,42,105595.56
51,2910,22-09-2024,5,20393.05
52,500,01-08-2024,63,295320.69
53,2469,26-09-2024,1,1745.32
54,2685,13-10-2024,84,23117.64
55,4453,11-02-2024,93,282799.98
56,4632,08-12-2024,35,289249.45
57,2329,03-03-2024,70,73058.3
58,1154,18-07-2024,76,144833.2
59,948,20-12-2024,27,103552.02
60,3475,29-04-2024,20,74918.6
61,4353,15-06-2024,46,211215.44
62,2348,05-12-2024,6,1495.98
63,3328,13-02-2024,16,3761.76
64,4352,11-01-2025,9,38536.56
65,1271,29-03-2024,31,4973.33
66,4857,10-01-2025,21,90278.79
67,3235,16-05-2024,100,211898
68,2984,28-04-2024,87,41096.19
69,3270,15-07-2024,70,43351
70,2116,29-02-2024,21,35127.54
71,2216,18-12-2024,75,364158
72,4644,17-10-2024,6,6935.94
73,1397,11-11-2024,91,227413.55
74,3570,22-09-2024,1,479.63
75,4812,22-07-2024,11,87084.14
76,1719,15-01-2025,10,21019.1
77,521,11-02-2024,4,12206.04
78,1592,26-09-2024,16,2296.8
79,3289,24-12-2024,63,106878.24
80,3116,22-09-2024,52,41962.44
81,1301,16-11-2024,79,225501.55
82,3053,29-11-2024,15,6993.6
83,1537,19-10-2024,10,10296.7
84,1257,10-03-2024,60,11320.2
85,4309,10-06-2024,49,7179.48
86,4769,10-04-2024,59,283545.74
87,581,23-03-2024,6,5008.68
88,3161,04-05-2024,3,580.11
89,1140,04-10-2024,14,1715.14
90,1354,16-04-2024,50,105326.5
91,685,14-06-2024,6,28031.7
92,3343,09-06-2024,7,4357.99
93,1462,15-12-2024,40,368858
94,1698,06-09-2024,82,29035.38
95,100,01-05-2024,31,29968.01
96,907,23-01-2024,11,42338.12
97,489,29-06-2024,11,67594.56
98,3279,05-01-2025,61,181193.18
99,507,29-08-2024,8,3104.4
100,3235,08-07-2024,75,158923.5
101,1189,21-08-2024,11,2594.79
102,537,27-01-2024,64,81573.12
103,4650,10-03-2024,73,145496.3
104,4467,07-10-2024,7,18891.81
105,4469,20-10-2024,50,197130
106,4637,08-12-2024,24,30344.64
107,682,15-01-2025,86,92292.62
108,3671,30-09-2024,51,140915.55
109,3781,16-04-2024,26,9413.56
110,1025,26-06-2024,61,202396.78
111,1195,05-07-2024,15,2251.5
112,961,18-07-2024,51,21662.76
113,3526,16-06-2024,4,15439.36
114,4474,11-12-2024,69,31534.38
115,4022,11-10-2024,21,100051.77
116,4415,16-04-2024,43,88350.81
117,2662,04-09-2024,64,50890.88
118,4383,04-08-2024,38,16256.78
119,3149,16-07-2024,40,18121.2
120,4447,29-01-2024,57,67615.11
121,1004,16-10-2024,19,118412.37
122,3498,11-10-2024,29,112884.82
123,3499,07-07-2024,67,480610.43
124,4767,02-06-2024,34,11282.22
125,516,20-09-2024,85,154838.55
126,2773,18-08-2024,57,17557.14
127,4731,07-05-2024,74,564021.34
128,3518,03-04-2024,93,40446.63
129,1306,27-06-2024,29,181189.39
130,3437,04-12-2024,84,304028.76
131,3305,01-09-2024,31,134023.54
132,1007,10-09-2024,51,5576.34
133,1786,06-04-2024,14,30256.66
134,1707,14-10-2024,100,82741
135,1171,12-05-2024,4,2628.4
136,3907,06-03-2024,73,545511.48
137,3444,23-02-2024,74,101220.16
138,4214,04-07-2024,38,254677.52
139,937,12-07-2024,53,84073.37
140,2740,13-02-2024,88,258930.32
141,3483,09-01-2025,84,173330.64
142,3151,01-08-2024,38,323319.58
143,30,23-12-2024,87,42418.59
144,2869,11-06-2024,79,17240.17
145,4353,30-04-2024,26,119382.64
146,563,20-09-2024,58,511651.64
147,1015,14-08-2024,63,517716.36
148,1887,04-12-2024,12,70484.28
149,163,30-03-2024,85,309381.3
150,3995,19-01-2024,95,855924.35
151,4423,29-06-2024,65,558853.75
152,3079,19-06-2024,48,30355.2
153,2554,24-01-2024,73,84336.17
154,807,10-01-2025,4,8895.88
155,1595,12-04-2024,87,7795.2
156,2665,01-11-2024,23,1368.96
157,1643,05-07-2024,83,32074.52
158,368,18-08-2024,15,29862.15
159,3516,01-05-2024,46,4904.52
160,4419,05-12-2024,87,443923.59
161,3369,26-03-2024,86,78280.64
162,3576,03-07-2024,28,35656.88
163,324,25-02-2024,100,11746
164,4427,24-07-2024,96,327950.4
165,647,28-08-2024,68,110661.16
166,4846,28-02-2024,41,16610.74
167,1924,10-12-2024,93,217085.25
168,1702,20-06-2024,21,7227.99
169,3455,10-12-2024,89,186609.86
170,3466,20-10-2024,34,49481.9
171,3230,08-12-2024,99,796625.28
172,3202,21-06-2024,42,17157.42
173,4351,15-01-2025,33,53101.95
174,4523,01-05-2024,87,89889.27
175,3527,26-09-2024,79,608066.16
176,4515,08-11-2024,10,3174.5
177,4245,06-10-2024,6,34101.12
178,959,09-08-2024,47,117145.15
179,1282,16-03-2024,89,608263.38
180,2132,28-03-2024,13,29816.54
181,2748,24-05-2024,3,1070.76
