product_id,product_name,therapeutic_area_id,product_type,manufacturer,price,launch_date
1,Glucagon Injection,4,Drug,CardioWorks,208.03,09-05-2024
2,Cardiac Stent,1,Drug,BioMed Industries,1876.35,27-09-2024
3,Heart Medication A,1,Drug,BioMed Industries,2036.64,07-03-2024
4,Inhaler Device,5,Drug,TheraTech,330.36,15-02-2024
5,Knee Prosthesis,3,Device,RespiraCare,1194.17,08-05-2024
6,Chemotherapy Machine,2,Drug,BioMed Industries,4680.74,22-11-2024
7,Spinal Fusion Device,3,Device,MedTech Solutions,7004.28,27-04-2024
8,Asthma Medication,5,Drug,TheraTech,1124.61,09-10-2024
9,Asthma Medication,5,Drug,TheraTech,2547.53,27-05-2024
10,Knee Prosthesis,3,Device,PharmaPro,5188.88,27-05-2024
11,Insulin Pen,4,Drug,PharmaPro,118.52,27-02-2024
12,Orthopedic Brace,3,Device,CardioWorks,3038.5,17-05-2024
13,Asthma Medication,5,Drug,PharmaPro,1165.21,04-10-2024
14,Insulin Pump,4,Drug,MedTech Solutions,309.53,14-05-2024
15,Oncology Diagnostic Tool,2,Drug,TheraTech,9546.9,27-10-2024
16,Inhaler Device,5,Drug,CardioWorks,2352.54,09-04-2024
17,Diabetes Test Strips,4,Drug,PharmaPro,320.88,09-05-2024
18,Heart Medication A,1,Drug,CardioWorks,2442.04,25-12-2024
19,Insulin Pen,4,Drug,RespiraCare,80.43,10-06-2024
20,Chemotherapy Machine,2,Drug,MedLife,4112.71,30-04-2024
21,Nebulizer,5,Drug,MedLife,1954,08-10-2024
22,Cardiac Stent,1,Drug,BioMed Industries,1407.54,03-11-2024
23,Beta Blocker B,1,Drug,MedTech Solutions,1077.26,21-07-2024
24,Angioplasty Device,1,Drug,MedLife,4025.61,29-05-2024
25,Cancer Drug X,2,Drug,TheraTech,8494.11,06-02-2024
26,Insulin Pen,4,Drug,HealthCorp,272.67,14-07-2024
27,Orthopedic Brace,3,Device,RespiraCare,7722.25,22-12-2024
28,Cardiac Stent,1,Drug,HealthCorp,4198.51,08-06-2024
29,Chemotherapy Machine,2,Drug,PharmaPro,7756.29,03-10-2024
30,Oxygen Concentrator,5,Drug,TheraTech,487.57,15-07-2024
31,Beta Blocker B,1,Drug,HealthCorp,2431.82,06-11-2024
32,Nebulizer,5,Drug,PharmaPro,907.73,23-05-2024
33,Knee Prosthesis,3,Device,OncoMed,891.22,05-09-2024
34,Orthopedic Brace,3,Device,OncoMed,7376.82,06-10-2024
35,Asthma Medication,5,Drug,PharmaPro,968.8,02-04-2024
36,Bone Graft,3,Device,BioMed Industries,7025.53,25-04-2024
37,Bone Graft,3,Device,TheraTech,352.26,01-08-2024
38,Glucose Monitor,4,Drug,MedLife,183.85,18-02-2024
39,Oncology Diagnostic Tool,2,Drug,RespiraCare,8138.42,19-12-2024
40,Bone Graft,3,Device,MedTech Solutions,3974.88,11-07-2024
41,Hip Replacement Implant,3,Device,TheraTech,7776.37,22-04-2024
42,Heart Medication A,1,Drug,MedLife,3793.18,21-04-2024
43,Cancer Drug X,2,Drug,BioMed Industries,779.63,10-09-2024
44,Glucagon Injection,4,Drug,CardioWorks,205.81,11-07-2024
45,Cardiac Stent,1,Drug,PureHealth,3103.06,19-12-2024
46,Inhaler Device,5,Drug,MedTech Solutions,2741.58,27-11-2024
47,Glucagon Injection,4,Drug,CardioWorks,355.95,18-09-2024
48,Diabetes Test Strips,4,Drug,MedTech Solutions,442.46,01-12-2024
49,Spinal Fusion Device,3,Device,TheraTech,5762.45,29-12-2024
50,Chemotherapy Machine,2,Drug,OncoMed,1746.9,26-04-2024
51,Glucose Monitor,4,Drug,CardioWorks,237.83,01-06-2024
52,Insulin Pen,4,Drug,RespiraCare,60.97,12-09-2024
53,Cancer Drug X,2,Drug,OncoMed,3474.2,02-10-2024
54,Angioplasty Device,1,Drug,PharmaPro,4005.57,02-05-2024
